SN	LATITUDE	LONGITUDE
1	27.445	83.26
2	27.447	83.263
3	27.45	83.256
4	27.45	83.254
5	27.449	83.252
6	27.449	83.25
7	27.45	83.246
8	27.452	83.24
9	27.453	83.237
10	27.457	83.229
11	27.459	83.222
12	27.463	83.21
13	27.467	83.201
14	27.467	83.196
15	27.466	83.189
16	27.47	83.181
17	27.47	83.177
18	27.472	83.171
19	27.471	83.167
20	27.471	83.166
21	27.472	83.163
22	27.473	83.161
23	27.473	83.16
24	27.474	83.157
25	27.474	83.154
26	27.478	83.145
27	27.478	83.142
28	27.478	83.141
29	27.481	83.136
30	27.482	83.132
31	27.487	83.126
32	27.49	83.123
33	27.493	83.116
34	27.496	83.11
35	27.498	83.109
36	27.5	83.104
37	27.501	83.103
38	27.502	83.101
39	27.501	83.1
